Wall time,Step,Value
1746121741.5104468,1,0.08813014626502991
1746121748.2130723,2,0.05114089325070381
1746121754.530068,3,0.03112574853003025
1746121761.9678206,4,0.33441442251205444
1746121769.9978132,5,0.44749951362609863
1746121780.9793003,6,0.15638625621795654
1746121789.1363368,7,0.7022541165351868
1746121798.8798423,8,1.5853989124298096
1746121810.7548354,9,2.218360662460327
1746121822.8992007,10,2.033564805984497
1746121842.919181,11,2.801785945892334
1746121858.3299627,12,2.99477481842041
1746121875.48521,13,4.633261680603027
1746121894.0303752,14,6.189012050628662
1746121915.3330724,15,7.308564186096191
1746121942.6199884,16,7.49763822555542
1746121965.8341208,17,7.811534881591797
1746121990.8955357,18,7.720010757446289
1746122016.8904293,19,6.731837272644043
1746122043.0066748,20,5.008218765258789
1746122074.979748,21,7.110837936401367
1746122101.416883,22,7.1909871101379395
1746122128.5753455,23,7.511558532714844
1746122155.648021,24,6.875088691711426
1746122183.175811,25,5.930505275726318
1746122215.4688911,26,7.17158317565918
1746122242.9377134,27,8.30082893371582
1746122270.507268,28,6.5460920333862305
1746122298.1984808,29,4.80839204788208
1746122325.8523242,30,5.926416873931885
1746122358.7154398,31,4.697967529296875
1746122387.0235696,32,5.199854373931885
1746122415.267247,33,5.407154560089111
1746122443.3241718,34,5.435341835021973
1746122472.1533926,35,5.39420747756958
1746122505.3716462,36,5.892640590667725
1746122533.9445074,37,4.555418491363525
1746122562.6658297,38,5.44027853012085
1746122591.2361822,39,6.428712368011475
1746122620.0539875,40,6.759350299835205
1746122654.052823,41,6.975788593292236
1746122683.3023496,42,6.974697113037109
1746122712.7740495,43,7.183609485626221
1746122742.013078,44,6.996971130371094
1746122770.9451077,45,6.933091163635254
1746122804.6972835,46,6.916608810424805
1746122833.6003644,47,7.1612019538879395
1746122862.5715218,48,6.942357063293457
1746122892.1507921,49,7.145565509796143
1746122921.653649,50,7.388210773468018
1746122956.0512397,51,7.214046001434326
1746122985.2920816,52,7.411024570465088
1746123014.7461352,53,7.423972129821777
1746123043.9766765,54,7.259880542755127
1746123072.7212913,55,7.416304588317871
1746123105.8532212,56,7.410640239715576
1746123134.0655308,57,7.160049915313721
1746123162.044197,58,7.28187370300293
1746123190.4264493,59,7.246728897094727
1746123219.0123818,60,7.95493221282959
1746123252.5021946,61,8.1488618850708
1746123280.849299,62,8.090836524963379
1746123309.0583713,63,9.077211380004883
1746123337.158872,64,8.727745056152344
1746123364.9797308,65,8.363090515136719
1746123396.9662008,66,7.682106018066406
1746123424.6572666,67,7.548100471496582
1746123452.519905,68,8.198885917663574
1746123480.4091146,69,8.038361549377441
1746123508.3019097,70,8.30361270904541
1746123541.3702433,71,8.27889347076416
1746123569.940438,72,7.440169334411621
1746123598.1069329,73,8.93167781829834
1746123626.4817493,74,8.675346374511719
1746123654.9763656,75,8.98288345336914
1746123687.6589005,76,8.414398193359375
1746123715.5033724,77,9.619976997375488
1746123742.913405,78,8.397416114807129
1746123770.1530395,79,8.517109870910645
1746123797.2778962,80,8.810349464416504
1746123828.6906629,81,8.807989120483398
1746123855.7516763,82,8.892793655395508
1746123883.059648,83,7.644996166229248
1746123909.974613,84,8.5814847946167
1746123936.8897636,85,8.098360061645508
1746123967.8796296,86,7.274050712585449
1746123994.8668027,87,7.904375076293945
1746124021.5273476,88,8.564470291137695
1746124048.3392658,89,7.65717077255249
1746124075.0581493,90,8.28650188446045
1746124106.1149673,91,7.517296314239502
1746124133.120679,92,8.572543144226074
1746124160.420148,93,9.044455528259277
1746124187.8596382,94,8.284674644470215
1746124215.312364,95,8.99525260925293
1746124247.0420423,96,10.340794563293457
1746124274.0861034,97,8.924964904785156
